doi;PMID;section;ITC num;Ind studies num;questions;reviewer 1;reviewer 2;decision;identical;reviewer;Notes reviewer 1;Notes reviewer 2
10.1080/17474086.2018.1475226;29764245;general_information;;;Medical Condition of Interest Name;;;relapsed and refractory classical hodgkin’s lymphoma;TRUE;BZ;NA;NA
10.1080/17474086.2018.1475226;29764245;general_information;;;Countries of first author affiliations;;;canada;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;general_information;;;Countries of last author affiliations;;;usa;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;general_information;;;Positions of study investigators (for any authors of the article, any that applies);;;Pharmaceutical Industry, Private Data Analysis Company;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;general_information;;;At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company;;;Yes;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;general_information;;;Mentioned sources of funding;;;Pharmaceutical Industry;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;general_information;;;Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article;;;Yes;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;general_information;;;Mention of a systematic review to find the studies to compare treatments of interest;;;Yes;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;study_information;;1;Patient-level data used;;;Yes;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;study_information;;1;Clinical Trial;;;Yes;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;study_information;;1;NCT (only for clinical trial registered on clinicaltrials.gov);;;NCT02453594;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;study_information;;1;Phase of the clinical trial (clinical trial only);;;2;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;study_information;;1;Number of treatment arms (clinical trial only);;;1;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;study_information;;1;Country where the clinical trial/observational study was conducted (international if more than one);unknown;;XXXX;FALSE;BZ;;
10.1080/17474086.2018.1475226;29764245;study_information;;2;Patient-level data used;;;No;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;study_information;;2;Clinical Trial;;;No;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;study_information;;2;Data source name (only if observational study or clinical trial without NCT);;;cheah et al., 2016;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;study_information;;2;Country where the clinical trial/observational study was conducted (international if more than one);;;usa;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Treatment name 1;;;pembrolizumab;TRUE;BZ;"Compares active treatment from single arm trial to observational study: very favorable context for the active treatment regarless of actual effect. **Seems like they do an STC, but basically center the covariates from the IPD trial to the value from the nonIPD trial by subtracting the mean of the nonIPD, and computes a linear regression using these new covariates values: to check that it comes down to the same thing as STC.**
covariates: prognostic factors, known, but didn't conduct a specific systematic review for that, but still checked ""clinical expert"" because it is the closest, more relevant than nothing reported
";Primary analysis of all BV failures from KEYNOTE-087
10.1080/17474086.2018.1475226;29764245;methodology;1;;Study 'number(s)' for treatment 1;;;1;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Treatment name 2;;;st + ard of care;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Study 'number(s)' for treatment 2;;;2;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Type of population-adjusted indirect comparisons performed;STC;MAIC;STC;FALSE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Anchored comparison?;;;No;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Form of the indirect comparison;;;Simple (ie treatments effects extracted from two studies);TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Definition of a single primary outcome for the indirect comparison;Yes;No primary outcome defined, or multiple primary outcomes without any clear distinction between them;Yes;FALSE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined);;;progression-free survival;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Primary outcome: variable type;;;Time-to-event;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Justification for selecting variables to be included in the adjustment model (in the main text);A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion);Nothing mentioned, not reported;A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion);FALSE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Inclusion of prognostic factors in the adjustment/matching model;;;Yes;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Inclusion of treatment-effect modifiers in the adjustment/matching model;;;No discussion (in the main text) of the status of treatment-effect modifiers of the variables;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc);No;Yes;Yes;FALSE;BZ;;
10.1080/17474086.2018.1475226;29764245;methodology;1;;Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale);;;No;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;Sample size of the population of interest in the non IPD treatment arm;;;83;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;Initial sample size of the population of interest in the IPD treatment arm;;;175;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;Reporting of a weights' distribution evaluation (MAIC);;Not mentioned;;FALSE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;Reporting of the list of the covariates adjusted for/matched on;;;Yes;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;Number of covariates adjusted for/matched on;;;7;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;Covariates adjusted for/matched on in the indirect comparison;Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score (ECOG PS, Karnofsky, Lansky, OMS, Ranson, ...);Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease);Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score (ECOG PS, Karnofsky, Lansky, OMS, Ranson, ...);FALSE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;Primary outcome: treatment effect contrast;;;HR;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;Direction of the treatment effect contrast: IPD treatment is:;;;Denominator if ratio, or rightside if difference;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;Primary outcome: unadjusted treatment effect;;;5;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY]);;;"[3.56;7.01]";TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;Primary outcome: adjusted treatment effect;;;6.35;TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])";;;"[4.04;9.98]";TRUE;BZ;;
10.1080/17474086.2018.1475226;29764245;results;1;;"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC";175;;175;FALSE;BZ;;
