doi;PMID;section;ITC num;Ind studies num;questions;reviewer 1;reviewer 2;decision;identical;Notes reviewer 1;Notes reviewer 2
10.1080/10428194.2019.1675881;31686561;general_information;;;Medical Condition of Interest Name;transplant ineligible multiple myeloma;multiple myeloma;XXXX;FALSE;NA;NA
10.1080/10428194.2019.1675881;31686561;general_information;;;Countries of first author affiliations;;;spain;TRUE;;
10.1080/10428194.2019.1675881;31686561;general_information;;;Countries of last author affiliations;;;usa;TRUE;;
10.1080/10428194.2019.1675881;31686561;general_information;;;Positions of study investigators (for any authors of the article, any that applies);;;Academic, Pharmaceutical Industry, Private Data Analysis Company;TRUE;;
10.1080/10428194.2019.1675881;31686561;general_information;;;At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company;;;Yes;TRUE;;
10.1080/10428194.2019.1675881;31686561;general_information;;;Mentioned sources of funding;;;Pharmaceutical Industry;TRUE;;
10.1080/10428194.2019.1675881;31686561;general_information;;;Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article;;;Yes;TRUE;;
10.1080/10428194.2019.1675881;31686561;general_information;;;Mention of a systematic review to find the studies to compare treatments of interest;;;Yes;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;1;Patient-level data used;;;Yes;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;1;Clinical Trial;;;Yes;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;1;NCT (only for clinical trial registered on clinicaltrials.gov);;;NCT00111319;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;1;Country where the clinical trial/observational study was conducted (international if more than one);;;usa;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;1;Phase of the clinical trial (clinical trial only);;;3;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;1;Number of treatment arms (clinical trial only);;;2 or more;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;2;Patient-level data used;;;No;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;2;Clinical Trial;;;Yes;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;2;NCT (only for clinical trial registered on clinicaltrials.gov);;;NCT02195479;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;2;Country where the clinical trial/observational study was conducted (international if more than one);;;international;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;2;Phase of the clinical trial (clinical trial only);;;3;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;2;Number of treatment arms (clinical trial only);;;2 or more;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;3;Patient-level data used;;;No;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;3;Clinical Trial;;;Yes;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;3;NCT (only for clinical trial registered on clinicaltrials.gov);;;NCT01063179;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;3;Country where the clinical trial/observational study was conducted (international if more than one);;;italy;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;3;Phase of the clinical trial (clinical trial only);;;3;TRUE;;
10.1080/10428194.2019.1675881;31686561;study_information;;3;Number of treatment arms (clinical trial only);;;2 or more;TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Treatment name 1;bortezomib-melphalan-prednisone;vmp (bortezomib/melphalan/prednisone);vmp (bortezomib/melphalan/prednisone);FALSE;Has access to IPD for some of the NONIPD studies;"""these variables were reported and extracted from a previous study""

MAIC's weights distribution  : Min, Max, Meand, median, Q1, Q3
Clairance créat = comorbidité
"
10.1080/10428194.2019.1675881;31686561;methodology;1;;Study 'number(s)' for treatment 1;;;1;TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Treatment name 2;modified bortezomib-melphalan-prednisone schedules;modified vmp schedule;modified vmp schedule;FALSE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Study 'number(s)' for treatment 2;;;"2;3";TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Type of population-adjusted indirect comparisons performed;;;MAIC;TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Anchored comparison?;;;No;TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Form of the indirect comparison;;;Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate);TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Definition of a single primary outcome for the indirect comparison;;;No primary outcome defined, or multiple primary outcomes without any clear distinction between them;TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined);progression free survival;progression-free survival;progression-free survival;FALSE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Primary outcome: variable type;;;Time-to-event;TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Justification for selecting variables to be included in the adjustment model (in the main text);;;Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose);TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Inclusion of prognostic factors in the adjustment/matching model;;;Yes;TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Inclusion of treatment-effect modifiers in the adjustment/matching model;;;Yes;TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc);;;No;TRUE;;
10.1080/10428194.2019.1675881;31686561;methodology;1;;Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale);;;No;TRUE;;
10.1080/10428194.2019.1675881;31686561;results;1;;Sample size of the population of interest in the non IPD treatment arm;;;547;TRUE;;
10.1080/10428194.2019.1675881;31686561;results;1;;Initial sample size of the population of interest in the IPD treatment arm;;;344;TRUE;;
10.1080/10428194.2019.1675881;31686561;results;1;;"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC";;;114;TRUE;;
10.1080/10428194.2019.1675881;31686561;results;1;;Reporting of a weights' distribution evaluation (MAIC);Not mentioned;Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials;Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials;FALSE;;
10.1080/10428194.2019.1675881;31686561;results;1;;Reporting of the list of the covariates adjusted for/matched on;;;Yes;TRUE;;
10.1080/10428194.2019.1675881;31686561;results;1;;Number of covariates adjusted for/matched on;;;8;TRUE;;
10.1080/10428194.2019.1675881;31686561;results;1;;Covariates adjusted for/matched on in the indirect comparison;;;Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Comorbidities and medical history (beside pathology/disease of interest in the comparison);TRUE;;
10.1080/10428194.2019.1675881;31686561;results;1;;Primary outcome: treatment effect contrast;;;HR;TRUE;;
10.1080/10428194.2019.1675881;31686561;results;1;;Direction of the treatment effect contrast: IPD treatment is:;Numerator if ratio, or left side if difference;Denominator if ratio, or rightside if difference;Numerator if ratio, or left side if difference;FALSE;;
10.1080/10428194.2019.1675881;31686561;results;1;;Primary outcome: unadjusted treatment effect;;;0.911;TRUE;;
