doi;PMID;section;ITC num;Ind studies num;questions;reviewer 1;reviewer 2;decision;identical;Notes reviewer 1;Notes reviewer 2
10.1080/10428194.2021.1913143;33896344;general_information;NA;NA;Medical Condition of Interest Name;NA;NA;relapsed and refractory multiple myeloma;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;general_information;NA;NA;Countries of first author affiliations;NA;NA;spain;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;general_information;NA;NA;Countries of last author affiliations;NA;NA;switzerland;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;general_information;NA;NA;Positions of study investigators (for any authors of the article, any that applies);NA;NA;Academic, Pharmaceutical Industry, Private Data Analysis Company;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;general_information;NA;NA;At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company;NA;NA;Yes;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;general_information;NA;NA;Mentioned sources of funding;NA;NA;Pharmaceutical Industry;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;general_information;NA;NA;Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article;NA;NA;Yes;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;general_information;NA;NA;Mention of a systematic review to find the studies to compare treatments of interest;NA;NA;Yes;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;1;Patient-level data used;NA;NA;Yes;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;1;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;1;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT03361748;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;1;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;1;Phase of the clinical trial (clinical trial only);NA;NA;2;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;1;Number of treatment arms (clinical trial only);NA;NA;1;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;2;Patient-level data used;NA;NA;No;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;2;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;2;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT02336815;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;2;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;2;Phase of the clinical trial (clinical trial only);NA;NA;2;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;2;Number of treatment arms (clinical trial only);NA;NA;1;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;3;Patient-level data used;NA;NA;No;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;3;Clinical Trial;NA;NA;Yes;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;3;NCT (only for clinical trial registered on clinicaltrials.gov);NA;NA;NCT03525678;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;3;Country where the clinical trial/observational study was conducted (international if more than one);NA;NA;international;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;3;Phase of the clinical trial (clinical trial only);NA;NA;2;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;study_information;NA;3;Number of treatment arms (clinical trial only);NA;NA;1;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;methodology;1;NA;Treatment name 1;NA;NA;idecabtagene vicleucel;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;methodology;1;NA;Study 'number(s)' for treatment 1;NA;NA;1;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;methodology;1;NA;Treatment name 2;NA;NA;selinexor + dexamethasone;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;methodology;1;NA;Study 'number(s)' for treatment 2;NA;NA;2;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;methodology;1;NA;Type of population-adjusted indirect comparisons performed;NA;NA;MAIC;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;methodology;1;NA;Anchored comparison?;NA;NA;No;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;methodology;1;NA;Form of the indirect comparison;NA;NA;Simple (ie treatments effects extracted from two studies);TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;methodology;1;NA;Definition of a single primary outcome for the indirect comparison;NA;NA;No primary outcome defined, or multiple primary outcomes without any clear distinction between them;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;methodology;1;NA;Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined);NA;NA;overall response rate;TRUE;NA;NA
10.1080/10428194.2021.1913143;33896344;methodology;1;NA;Primary outcome: variable type;NA;NA;Binary (eg rates);TRUE;NA;NA
